SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,2026 Amberley Woods Trl,Helena,AL,35080,169900,3,2.5,Amberley Woods,,,1997,2,Garage,31,Active,,,,,169900,,,http://www.redfin.com/AL/Helena/2026-Amberley-Woods-Trl-35080/home/80704104,Greater Alabama MLS,741343,Keller Williams Realty Bham,N,Y,33.264425,-86.842348,false
MLS Listing,Single Family Residential,256 Kentwood Dr,Alabaster,AL,35007,222900,4,3.5,Kentwood,,11761,1999,2,Garage,107,Active,,,,2016-03-01,229900,2015-09-10,132000.0,http://www.redfin.com/AL/Alabaster/256-Kentwood-Dr-35007/home/80758006,Greater Alabama MLS,735385,Classic Realty Groups,N,Y,33.218049,-86.848462,false
MLS Listing,Townhouse,7520 Spencer Ln,Helena,AL,35080,99900,2,2.0,Wyndham,,43,1998,0,,22,Active,,,,,99900,2005-09-07,107500.0,http://www.redfin.com/AL/Helena/7520-Spencer-Ln-35080/home/80741111,Greater Alabama MLS,742146,Advanced Realty,N,Y,33.279189,-86.847868,false
MLS Listing,Single Family Residential,109 Hickory Point Dr,Helena,AL,35080,159900,3,2.0,Hickory Point,,7840,1998,2,Garage,37,Active,,,,2016-03-02,166000,,,http://www.redfin.com/AL/Helena/109-Hickory-Point-Dr-35080/home/80716620,Greater Alabama MLS,740747,Marketplace Housing LLC,N,Y,33.270717,-86.840333,false
MLS Listing,Single Family Residential,149 Windsor Ln,Pelham,AL,35124,395000,4,4.5,Weatherly,,91476,1999,2,Garage,27,Active,,,,,395000,,,http://www.redfin.com/AL/Pelham/149-Windsor-Ln-35124/home/80754529,Greater Alabama MLS,741776,Keller Williams Metro South,N,Y,33.247924,-86.785299,false
MLS Listing,Single Family Residential,133 Wixford Way,Alabaster,AL,35007,212900,3,2.0,Weatherly Wixford,,14374,1996,2,Garage,131,Active,,,,2016-02-22,219900,,,http://www.redfin.com/AL/Alabaster/133-Wixford-Way-35007/home/80754894,Greater Alabama MLS,734004,RealtySouth-Shelby Office,N,Y,33.24658,-86.789841,false
MLS Listing,Townhouse,615 Treymoor Lake Cir,Alabaster,AL,35007,137500,3,2.5,Weatherly Aberdeen,,,1998,0,,23,Active,,,,,137500,,,http://www.redfin.com/AL/Alabaster/615-Treymoor-Lake-Cir-35007/home/80741807,Greater Alabama MLS,742061,RE/MAX First Choice,N,Y,33.245084,-86.795674,false
MLS Listing,Single Family Residential,136 Long Feather Ln,Alabaster,AL,35007,207500,3,2.5,Apache Ridge,,10454,1994,2,Garage,135,Active,,,,2016-02-29,213900,,,http://www.redfin.com/AL/Alabaster/136-Longfeather-Ln-35007/home/80753041,Greater Alabama MLS,733644,ForSaleByOwner.com Referral Se,N,Y,33.2570645,-86.8292818,false
MLS Listing,Single Family Residential,1440 Whirlaway Ct,Helena,AL,35080,209900,3,2.5,Dearing Downs,,21344,1986,2,Garage,75,Active,,,,,209900,2008-02-01,185000.0,http://www.redfin.com/AL/Helena/1440-Whirlaway-Ct-35080/home/80752424,Greater Alabama MLS,737389,Lucas and Associates,N,Y,33.280641,-86.826308,false
MLS Listing,Townhouse,540 Treymoor Lake Cir,Alabaster,AL,35007,144900,3,2.5,Weatherly,,43,1997,0,,77,Active,,,,,144900,2006-09-20,135768.0,http://www.redfin.com/AL/Alabaster/540-Treymoor-Lake-Cir-35007/home/80741759,Greater Alabama MLS,737049,RE/MAX Southern Homes,N,Y,33.246443,-86.795537,false
MLS Listing,Single Family Residential,121 Scenic Lake Dr,Maylene,AL,35114,285150,5,3.0,Lake Forest,,,2016,2,Garage,76,Active,,,,,285150,,,http://www.redfin.com/AL/Alabaster/121-Scenic-Lake-Dr-35114/home/102546192,Greater Alabama MLS,737221,RealtySouth-Huntsville-BHM,N,Y,33.2207593,-86.8589409,false
MLS Listing,Single Family Residential,228 Red Bay Dr,Maylene,AL,35114,367400,6,5.0,Lake Forest,,,2016,2,Garage,76,Active,,,,,367400,2015-04-03,23500.0,http://www.redfin.com/AL/Alabaster/228-Red-Bay-DR-35114/unit-64/home/101767701,Greater Alabama MLS,737238,RealtySouth-Huntsville-BHM,N,Y,33.2191269,-86.8611441,false
MLS Listing,Single Family Residential,220 Red Bay Dr,Maylene,AL,35114,357400,6,6.5,Lake Forest,,,2016,2,Garage,76,Active,,,,,357400,2015-04-03,23500.0,http://www.redfin.com/AL/Alabaster/220-Red-Bay-DR-35114/unit-66/home/101767699,Greater Alabama MLS,737243,RealtySouth-Huntsville-BHM,N,Y,33.2196648,-86.861065,false
MLS Listing,Single Family Residential,200 Red Bay Dr,Maylene,AL,35114,285150,4,3.0,Lake Forest,,,2016,2,Garage,76,Active,,,,,285150,,,http://www.redfin.com/AL/Alabaster/200-Red-Bay-Dr-35114/home/102546312,Greater Alabama MLS,737227,RealtySouth-Huntsville-BHM,N,Y,33.2210385,-86.8606317,false
MLS Listing,Single Family Residential,425 Red Bay Cv,Maylene,AL,35114,304150,5,3.5,Lake Forest,,,2016,2,Garage,76,Active,,,,,304150,,,http://www.redfin.com/AL/Alabaster/425-Red-Bay-CV-35114/unit-38p/home/101750101,Greater Alabama MLS,737230,RealtySouth-Huntsville-BHM,N,Y,33.2229425,-86.8610341,false
MLS Listing,Single Family Residential,224 Red Bay Dr,Maylene,AL,35114,262150,4,3.0,Lake Forest,,,2016,2,Garage,76,Active,,,,,262150,2015-04-03,23500.0,http://www.redfin.com/AL/Alabaster/224-Red-Bay-DR-35114/unit-65/home/101767700,Greater Alabama MLS,737241,RealtySouth-Huntsville-BHM,N,Y,33.2193962,-86.8610785,false
MLS Listing,Single Family Residential,429 Red Bay Cv,Maylene,AL,35114,312150,5,4.0,Lake Forest,,,2016,2,Garage,76,Active,,,,,312150,,,http://www.redfin.com/AL/Alabaster/429-Red-Bay-Cv-35114/home/102546431,Greater Alabama MLS,737235,RealtySouth-Huntsville-BHM,N,Y,33.2229425,-86.8610344,false
New Construction Plan,Single Family Residential,Newnan B,Alabaster,AL,35114,275000,4,3.5,Laceys Grove,3080,,,2,Garage,78,Active,,,,,274000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Newnan-B/home/102411794,Builder Digital eXperience (BDX),Plan-1160841,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Newnan A,Alabaster,AL,35114,275000,4,3.5,Laceys Grove,3080,,,2,Garage,78,Active,,,,,274000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Newnan-A/home/102411796,Builder Digital eXperience (BDX),Plan-1160839,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Helen A,Alabaster,AL,35114,265000,4,2.5,Laceys Grove,2810,,,2,Garage,78,Active,,,,,264000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Helen-A/home/102411797,Builder Digital eXperience (BDX),Plan-1160838,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Dalton A,Alabaster,AL,35114,260000,4,3.0,Laceys Grove,2450,,,2,Garage,78,Active,,,,,259000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Dalton-A/home/102411799,Builder Digital eXperience (BDX),Plan-1160837,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Rome B,Alabaster,AL,35114,253000,4,2.5,Laceys Grove,2490,,,2,Garage,78,Active,,,,,252000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Rome-B/home/102411800,Builder Digital eXperience (BDX),Plan-1160836,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Rome A,Alabaster,AL,35114,253000,4,2.5,Laceys Grove,2490,,,2,Garage,78,Active,,,,,252000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Rome-A/home/102411802,Builder Digital eXperience (BDX),Plan-1160835,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Roswell A,Alabaster,AL,35114,228000,3,2.0,Laceys Grove,1910,,,2,Garage,78,Active,,,,,227000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Roswell-A/home/102411804,Builder Digital eXperience (BDX),Plan-1160834,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Canton A,Alabaster,AL,35114,226000,3,2.0,Laceys Grove,1920,,,2,Garage,78,Active,,,,,225000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Canton-A/home/102411805,Builder Digital eXperience (BDX),Plan-1160833,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Augusta A,Alabaster,AL,35114,220000,3,2.0,Laceys Grove,1780,,,2,Garage,78,Active,,,,,219000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Augusta-A/home/102411807,Builder Digital eXperience (BDX),Plan-1160832,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Marietta A,Alabaster,AL,35114,218000,3,2.0,Laceys Grove,1760,,,2,Garage,78,Active,,,,,217000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Marietta-A/home/102411808,Builder Digital eXperience (BDX),Plan-1160831,NewHomeSource.com,N,Y,33.226379,-86.868392,false
New Construction Plan,Single Family Residential,Savannah,Alabaster,AL,35114,231000,3,2.0,Laceys Grove,2080,,,2,Garage,78,Active,,,,,230000,,,http://www.redfin.com/AL/Alabaster/Laceys-Grove/Savannah/home/102411809,Builder Digital eXperience (BDX),Plan-1160396,NewHomeSource.com,N,Y,33.226379,-86.868392,false
MLS Listing,Single Family Residential,328 Lacey Ave,Maylene,AL,35114,220850,4,2.5,Laceys Grove,,7405,2015,2,Garage,145,Active,,,,,200930,,,http://www.redfin.com/AL/Alabaster/328-Lacey-AVE-35114/unit-162/home/101751994,Greater Alabama MLS,731934,D R Horton Homes,N,Y,33.2262355,-86.866922,false
MLS Listing,Single Family Residential,209 Lot 27 Wisteria Ln,Alabaster,AL,35007,299900,5,3.5,Wisteria,,10018,2015,2,Garage,132,Active,,,,2016-02-22,296000,,,http://www.redfin.com/AL/Alabaster/209-Wisteria-LN-35007/unit-27/home/101853294,Greater Alabama MLS,733924,RealtySouth-Shelby Office,N,Y,33.2096426,-86.8220757,false
MLS Listing,Single Family Residential,186 Churchill Dr,Maylene,AL,35114,164900,3,2.0,Sterling Gate Cedar Grove,,13503,2002,2,Garage,33,Active,,,,,164900,2016-01-21,105705.0,http://www.redfin.com/AL/Alabaster/186-Churchill-Dr-35114/home/80722870,Greater Alabama MLS,741223,"Highpointe Properties, LLC",N,Y,33.243077,-86.85153,false
MLS Listing,Single Family Residential,125 Sandpebble St,Alabaster,AL,35007,139900,3,2.0,Portsouth,,17859,1976,2,Garage,37,Active,,,,,139900,2006-05-30,114800.0,http://www.redfin.com/AL/Alabaster/125-Sand-Pebble-St-35007/home/80752735,Greater Alabama MLS,740729,U Build Realty LLC,N,Y,33.265935,-86.826759,false
MLS Listing,Single Family Residential,1211 Southwind Dr,Helena,AL,35080,169900,4,3.0,Dearing Downs,,15245,1978,2,Garage,120,Active,,,,,169900,,,http://www.redfin.com/AL/Helena/1211-Southwind-Dr-35080/home/80702603,Greater Alabama MLS,734701,RealtySouth-OTM-Acton Rd,N,Y,33.27954,-86.830655,false
MLS Listing,Single Family Residential,131 Oakbrooke Ln,Alabaster,AL,35007,226000,5,3.0,Oakbrooke Estates,,16988,2000,2,Garage,58,Active,,,,,226000,,,http://www.redfin.com/AL/Alabaster/131-Oakbrooke-Ln-35007/home/80716336,Greater Alabama MLS,738837,ARC Realty,N,Y,33.236866,-86.826726,false
MLS Listing,Single Family Residential,221 Ironwood Cir,Alabaster,AL,35007,124500,3,2.0,Ironwood,,6534,2006,0,,30,Active,,,,,124500,2013-09-13,122000.0,http://www.redfin.com/AL/Alabaster/221-Ironwood-Cir-35007/home/80727029,Greater Alabama MLS,741410,UNU Group,N,Y,33.249727,-86.808395,false
MLS Listing,Vacant Land,276 Cedar Grove Pkwy #33,Alabaster,AL,35007,49900,,,Sterling Gate,,14592,,0,,29,Active,,,,,49900,2013-09-30,3500.0,http://www.redfin.com/AL/Alabaster/276-Cedar-Grove-PKWY-35114/unit-33/home/101766645,Greater Alabama MLS,741515,Keller Williams Metro South,N,Y,33.2393305,-86.8512245,false
MLS Listing,Single Family Residential,949 Haddington Dl,Pelham,AL,35124,254900,4,3.0,Ballantrae Haddington Parc,,,2006,2,Garage,76,Active,,,,2016-02-06,259900,2006-07-27,281765.0,http://www.redfin.com/AL/Pelham/949-Haddington-Dl-35124/home/80731294,Greater Alabama MLS,737284,Keller Williams Realty Hoover,N,Y,33.264005,-86.757093,false
MLS Listing,Single Family Residential,640 Kent Dairy Rd,Alabaster,AL,35007,499900,3,2.0,,,784080,1996,2,Garage,145,Active,,,,2016-02-14,525000,,,http://www.redfin.com/AL/Alabaster/640-Kent-Dairy-Rd-35007/home/101750962,Greater Alabama MLS,731569,Shader Realty,N,Y,33.2149221003056,-86.8515680730343,false
MLS Listing,Single Family Residential,1364 Willow Creek Pl,Alabaster,AL,35007,155000,4,3.0,Willow Creek,,,1986,2,Garage,145,Active,,,,2016-02-16,164900,,,http://www.redfin.com/AL/Alabaster/1364-Willow-Creek-Pl-35007/home/80702794,Greater Alabama MLS,732402,Keller Williams Realty Bham,N,Y,33.259979,-86.818201,false
MLS Listing,Single Family Residential,417 Red Bay Cv,Alabaster,AL,35114,336675,5,4.0,Lake Forest,,,2015,2,Garage,103,Active,,,,2016-02-16,350925,,,http://www.redfin.com/AL/Alabaster/417-Red-Bay-Cv-35114/unit-40/home/102070954,Greater Alabama MLS,735759,RealtySouth-Huntsville-BHM,N,Y,33.2229425,-86.8610344,false
MLS Listing,Single Family Residential,162 River Crest Ln,Helena,AL,35080,195300,3,2.0,Old Cahaba,,,2016,2,Garage,36,Active,,,,,195300,,,http://www.redfin.com/AL/Helena/162-River-Crest-Ln-35080/home/103856113,Greater Alabama MLS,740925,"Adams Homes, LLC",N,Y,33.2731552,-86.8890362,false
MLS Listing,Single Family Residential,121 River Crest Ln,Helena,AL,35080,195125,3,2.0,Old Cahaba,,,2016,2,Garage,36,Active,,,,,195125,,,http://www.redfin.com/AL/Helena/121-River-Crest-Ln-35080/home/103852558,Greater Alabama MLS,740908,"Adams Homes, LLC",N,Y,33.2744459,-86.8875368,false
MLS Listing,Single Family Residential,158 River Crest Ln,Helena,AL,35080,198900,4,2.0,Old Cahaba,,,2016,2,Garage,35,Active,,,,,198900,,,http://www.redfin.com/AL/Helena/158-River-Crest-Ln-35080/home/103892327,Greater Alabama MLS,740975,"Adams Homes, LLC",N,Y,33.2732592,-86.8888673,false
MLS Listing,Single Family Residential,313 Logos Trc,Alabaster,AL,35007,449900,5,4.0,Maple Ridge,,50529,2016,7,Garage,37,Active,,,,,449900,2015-09-10,60000.0,http://www.redfin.com/AL/Alabaster/313-Logos-Trce-35007/unit-44/home/101766890,Greater Alabama MLS,740713,Keller Williams Metro South,N,Y,33.1923072,-86.8476416,false
MLS Listing,Vacant Land,0 Smokey Rd #0,Alabaster,AL,35007,140000,,,Alabaster/Maylene/Saginaw,,313632,,0,,114,Active,,,,,140000,,,http://www.redfin.com/AL/Alabaster/0-Smokey-Rd-35007/unit-0/home/102151969,Greater Alabama MLS,734954,Keller Williams Metro South,N,Y,33.2012409,-86.8270733,false
MLS Listing,Single Family Residential,100 Shiraz St,Alabaster,AL,35007,259000,3,3.0,Wynlake,,18730,1997,2,Garage,40,Active,,,,,259000,2014-03-31,157000.0,http://www.redfin.com/AL/Alabaster/100-Shiraz-St-35007/home/80759102,Greater Alabama MLS,740649,RE/MAX Southern Homes,N,Y,33.186168,-86.836709,false
MLS Listing,Single Family Residential,1313 Allen Dr,Alabaster,AL,35007,65900,2,1.0,,,130,1971,0,,112,Active,,,,,65900,,,http://www.redfin.com/AL/Alabaster/1313-Allen-Dr-35007/home/80702823,Greater Alabama MLS,735153,RE/MAX First Choice,N,Y,33.2603104,-86.80455,false
MLS Listing,Townhouse,1604 King James Dr,Alabaster,AL,35007,89000,2,1.5,Kingwood Townhomes,,,1995,0,,99,Active,,,,,89000,2013-09-13,75000.0,http://www.redfin.com/AL/Alabaster/1604-King-James-Dr-35007/unit-34/home/80752565,Greater Alabama MLS,735985,Morgan Realty,N,Y,33.266932,-86.821763,false
MLS Listing,Vacant Land,205 Fox Valley Highlands Dr #6,Maylene,AL,35114,100000,,,Fox Valley Highlands,,310147,,0,,145,Active,,,,,100000,,,http://www.redfin.com/AL/Alabaster/205-Fox-Valley-Highland-Dr-35114/unit-6/home/101763628,Greater Alabama MLS,617293,Keller Williams Metro South,N,Y,33.2437431,-86.8705239,false
MLS Listing,Vacant Land,E Oakwood Dr E Unit 14.37 acres,Alabaster,AL,35007,287400,,,Alabaster/Maylene/Saginaw,,625957,,0,,100,Active,,,,,287400,,,http://www.redfin.com/AL/Alabaster/Oakwood-Dr-35007/unit-1437-acres/home/102265440,Greater Alabama MLS,735889,Pace Properties,N,Y,33.2194404602051,-86.7940292358398,false
For-Sale-by-Owner Listing,Single Family Residential,116 Windsor Cir,Pelham,AL,35124,449900,5,5.0,Indn Spgs Vlg,3700,,1996,0,,174,Active,,,,,449900,2014-01-31,413500.0,http://www.redfin.com/AL/Pelham/116-Windsor-Cir-35124/home/80754531,Oodle,4024775544,Owners.com via Oodle,N,Y,33.2591,-86.7803,false
MLS Listing,Single Family Residential,805 Ballantrae Pkwy,Pelham,AL,35124,369000,4,3.5,Ballantrae,,,2006,3,Garage,145,Active,,,,2016-02-11,389000,2013-11-19,400000.0,http://www.redfin.com/AL/Pelham/805-Ballantrae-Pkwy-35124/home/80727463,Greater Alabama MLS,731601,RE/MAX Southern Homes-280,N,Y,33.2601896,-86.7600461,false
MLS Listing,Single Family Residential,751 Crider Rd,Maylene,AL,35114,195265,4,2.0,Laceys Grove,,7405,2015,2,Garage,145,Active,,,,,191715,,,http://www.redfin.com/AL/Unknown/751-Crider-RD-35114/unit-134/home/101751572,Greater Alabama MLS,723489,D R Horton Homes,N,Y,33.2299282,-86.8677672,false
MLS Listing,Single Family Residential,759 Crider Rd,Maylene,AL,35114,205527,3,2.5,Laceys Grove,,7405,2015,2,Garage,145,Active,,,,,205527,,,http://www.redfin.com/AL/Unknown/759-Crider-RD-35114/unit-132/home/101751574,Greater Alabama MLS,723493,D R Horton Homes,N,Y,33.2299327,-86.8681623,false
MLS Listing,Single Family Residential,739 Crider Rd,Maylene,AL,35114,216385,3,2.5,Laceys Grove,,7405,2016,2,Garage,145,Active,,,,,216385,,,http://www.redfin.com/AL/Unknown/739-Crider-Rd-35114/home/101337089,Greater Alabama MLS,633255,D R Horton Homes,N,Y,33.229942,-86.86694,false
MLS Listing,Single Family Residential,328 Kings Crest Ln,Pelham,AL,35124,425000,4,3.5,Weatherly,,458686,1998,2,Garage,145,Active,,,,,425000,,,http://www.redfin.com/AL/Pelham/328-Kings-Crest-Ln-35124/home/80705394,Greater Alabama MLS,732448,Keller Williams Metro South,N,Y,33.2772129,-86.7604664,false
MLS Listing,Vacant Land,2040 Butler Rd #1,Alabaster,AL,35007,174000,,,,,101059,,0,,145,Active,,,,2016-01-13,175000,,,http://www.redfin.com/AL/Alabaster/2040-Butler-Rd-35007/unit-1/home/101763055,Greater Alabama MLS,729831,RealtySouth-Inverness Office,N,Y,33.19938,-86.828418,false
MLS Listing,Single Family Residential,3021 N Grande View Cv,Maylene,AL,35114,335000,4,3.5,Grande View,,26571,2003,3,Garage,145,Active,,,,,335000,,,http://www.redfin.com/AL/Alabaster/3021-N-Grande-View-Cv-35114/home/80718521,Greater Alabama MLS,732542,Keller Williams Metro South,N,Y,33.208037,-86.849875,false
MLS Listing,Vacant Land,109 Carnoustie Dr #919,Pelham,AL,35124,55000,,,Ballantrae Carnoustie Crest,,11761,,0,,145,Active,,,,2015-12-02,59900,,,http://www.redfin.com/AL/Pelham/109-Carnoustie-DR-35124/unit-919/home/101766671,Greater Alabama MLS,731196,RE/MAX Southern Homes,N,Y,33.2604318,-86.7578251,false
MLS Listing,Single Family Residential,1214 Bunting Dr,Alabaster,AL,35007,171500,3,2.0,Meadowlark,,,1987,2,Garage,145,Active,,,,,171500,,,http://www.redfin.com/AL/Alabaster/1214-Bunting-Dr-35007/home/80702735,Greater Alabama MLS,726827,Joseph Realty,N,Y,33.259715,-86.822602,false
MLS Listing,Townhouse,125 Timberleaf Cir,Alabaster,AL,35007,103900,2,2.0,Timberleaf,,4356,1997,0,,145,Active,,,,,103900,2005-03-18,101500.0,http://www.redfin.com/AL/Alabaster/125-Timberleaf-Cir-35007/home/80752479,Greater Alabama MLS,723709,Keller Williams Metro South,N,Y,33.259845,-86.803849,false
MLS Listing,Single Family Residential,7962 S,Alabaster,AL,35007,699000,5,4.5,,,435600,1990,6,Garage,49,Active,,,,,699000,,,http://www.redfin.com/AL/Alabaster/Unknown-35007/home/103650140,Greater Alabama MLS,739629,Coldwell Banker Preferred Prop,N,Y,33.2260845,-86.804851,false
MLS Listing,Single Family Residential,110 6th St SW,Alabaster,AL,35007,109900,3,1.5,Mcmillian,,,1977,0,,145,Active,,,,2015-11-18,114900,,,http://www.redfin.com/AL/Alabaster/110-6th-St-SW-35007/home/80757130,Greater Alabama MLS,722635,Champion Realty,N,Y,33.243455,-86.823389,false
For-Sale-by-Owner Listing,Single Family Residential,463 Oxford Way,Pelham,AL,35124,259900,3,3.0,Pelham,2476,100,2000,2,Garage,196,Active,,,,,259900,,,http://www.redfin.com/AL/Pelham/463-Oxford-Way-35124/home/80765918,ForSaleByOwner.com,22793386,ForSaleByOwner.com,N,Y,33.245279,-86.783923,false
MLS Listing,Single Family Residential,121 Lauchlin Way,Pelham,AL,35124,369900,4,4.0,Ballantrae Lauchlin,,11761,2009,2,Garage,128,Active,,,,,369900,2013-04-26,359000.0,http://www.redfin.com/AL/Pelham/121-Lauchlin-Way-35124/home/80737217,Greater Alabama MLS,734164,RE/MAX Advantage South,N,Y,33.256391,-86.766191,false
For-Sale-by-Owner Listing,Single Family Residential,203 Weatherly Way,Pelham,AL,35124,449000,5,5.5,Pelham,4200,117176,1999,2,Garage,196,Active,,,,,449000,,,http://www.redfin.com/AL/Pelham/203-Weatherly-Way-35124/home/80754407,ForSaleByOwner.com,24031342,ForSaleByOwner.com,N,Y,33.276218,-86.76282,false
MLS Listing,Single Family Residential,117 Talmadge Dr Lot 5,Pelham,AL,35124,428900,5,4.5,Pelham,,87120,1996,3,Garage,135,Active,,,,,428900,,,http://www.redfin.com/AL/Pelham/117-Talmadge-Dr-35124/unit-5/home/101836419,Greater Alabama MLS,731736,RE/MAX First Choice,N,Y,33.275853,-86.774902,false
MLS Listing,Single Family Residential,119 Holland Trl,Pelham,AL,35124,164500,3,2.0,Holland Lakes,,43560,2005,1,Garage,132,Active,,,,,164500,,,http://www.redfin.com/AL/Pelham/119-Holland-Trl-35124/home/80730555,Greater Alabama MLS,733931,E21 Realty,N,Y,33.277013,-86.815159,false
MLS Listing,Single Family Residential,124 Parliament Rd,Maylene,AL,35114,229900,4,3.0,Sterling Gate Cedar Grove,,12632,2005,2,Garage,115,Active,,,,,229900,2005-06-01,199900.0,http://www.redfin.com/AL/Alabaster/124-Parliament-Rd-35114/home/80727922,Greater Alabama MLS,734897,RE/MAX Preferred,N,Y,33.240666,-86.847019,false
MLS Listing,Single Family Residential,100 Hunset Mill Ln,Pelham,AL,35124,549900,5,4.5,Weatherly Olde,,130680,1990,3,Garage,105,Active,,,,,549900,,,http://www.redfin.com/AL/Pelham/100-Hunset-Mill-Ln-35124/home/80704933,Greater Alabama MLS,735562,Omega Realty Group,N,Y,33.2731017,-86.7670523,false
MLS Listing,Single Family Residential,400 Midridge Ln,Pelham,AL,35124,114900,2,2.0,Midridge Village,,,2002,0,,145,Active,,,,,114900,2013-04-15,90000.0,http://www.redfin.com/AL/Pelham/400-Midridge-Ln-35124/unit-41/home/80726336,Greater Alabama MLS,730634,RealtySouth-Trussville Office,N,Y,33.271193,-86.807181,false
MLS Listing,Single Family Residential,4395 Old Cahaba Pkwy,Helena,AL,35080,274500,4,3.5,Old Cahaba,,,2016,2,Garage,52,Active,,,,,274500,,,http://www.redfin.com/AL/Helena/4395-Old-Cahaba-Pkwy-35080/home/103623014,Greater Alabama MLS,739427,"Newcastle Homes, Inc.",N,Y,33.2739096,-86.8842081,false
For-Sale-by-Owner Listing,Single Family Residential,118 Water Elm Dr,Alabaster,AL,35114,274900,4,3.0,Maylene,,,2003,2,Garage,196,Active,,,,,274900,2007-08-23,248000.0,http://www.redfin.com/AL/Alabaster/118-Water-Elm-Dr-35114/home/80766888,ForSaleByOwner.com,24040121,ForSaleByOwner.com,N,Y,33.22174,-86.857686,false
MLS Listing,Single Family Residential,195 Red Bay Dr,Maylene,AL,35114,320000,6,3.0,Lake Forest,,21344,2010,2,Garage,145,Active,,,,,319900,,,http://www.redfin.com/AL/Alabaster/195-Red-Bay-Dr-35114/home/80735237,Greater Alabama MLS,732587,Keller Williams Metro South,N,Y,33.221469,-86.860965,false
MLS Listing,Vacant Land,191 Red Bay Dr #47,Alabaster,AL,35007,44900,,,Lake Forest,,13503,,0,,49,Active,,,,,44900,2014-03-19,32500.0,http://www.redfin.com/AL/Alabaster/191-Red-Bay-DR-35114/unit-47/home/101764987,Greater Alabama MLS,739791,Keller Williams Metro South,N,Y,33.2213468,-86.8604451,false
MLS Listing,Single Family Residential,215 Red Bay Dr,Maylene,AL,35114,365000,4,4.5,Lake Forest,,10454,2007,3,Garage,44,Active,,,,,365000,,,http://www.redfin.com/AL/Alabaster/215-Red-Bay-Dr-35114/home/80735243,Greater Alabama MLS,740112,FlatFee.com,N,Y,33.219896,-86.861319,false
MLS Listing,Single Family Residential,1076 Stoneykirk Rd,Pelham,AL,35124,314900,4,3.0,Ballantrae Stoneykirk,,16117,2005,4,Garage,128,Active,,,,,314900,2005-05-16,302900.0,http://www.redfin.com/AL/Pelham/1076-Stoneykirk-Rd-35124/home/80727321,Greater Alabama MLS,734137,MC2 Realty,N,Y,33.264665,-86.757167,false
For-Sale-by-Owner Listing,Single Family Residential,1121 Elm Dr,Alabaster,AL,35007,194500,5,3.0,Alabaster,1732,,1990,2,Garage,196,Active,,,,,194500,2013-08-15,187500.0,http://www.redfin.com/AL/Alabaster/1121-Elm-Dr-35007/home/80753842,ForSaleByOwner.com,24024799,ForSaleByOwner.com,N,Y,33.264458,-86.836151,false
MLS Listing,Single Family Residential,220 Rocky Ridge Dr,Helena,AL,35080,164900,3,2.0,Rocky Ridge,,10018,2000,2,Garage,145,Active,,,,,164900,,,http://www.redfin.com/AL/Helena/220-Rocky-Ridge-Dr-35080/home/80765569,Greater Alabama MLS,634102,Southern Advantage Real Estate,N,Y,33.26689,-86.849707,false
MLS Listing,Single Family Residential,1313 Caliston Way,Pelham,AL,35124,246900,3,2.0,Ballantrae Caliston,,9583,2005,2,Garage,44,Active,,,,,246900,,,http://www.redfin.com/AL/Pelham/1313-Caliston-Way-35124/home/80727291,Greater Alabama MLS,739621,Crawford Realty of Alabama,N,Y,33.2678882,-86.7579173,false
